WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;November
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Selatan;Sawahan;Puskesmas Pakis;Endokrin, nutrisi dan gangguan metabolik;218
Surabaya Selatan;Sawahan;Puskesmas Pakis;Gangguan jiwa dan perilaku;19
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit yang mengenai sistem syaraf;38
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit mata dan adnexa;57
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit telinga dan mastoid;67
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit pada sistem sirkulasi;111
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit pada sistem pernafasan;571
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit pada sistem pencernaan;451
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit pada kulit dan jaringan subcutaneous;145
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit pada sistem musculoskletal;214
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit pada sistem saluran kemih dan genital;62
Surabaya Selatan;Sawahan;Puskesmas Pakis;Kehamilan dan kelahiran;11
Surabaya Selatan;Sawahan;Puskesmas Pakis;Keadaan yang berasal dari periode perinatal;9
Surabaya Selatan;Sawahan;Puskesmas Pakis;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Selatan;Sawahan;Puskesmas Pakis;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;121
Surabaya Selatan;Sawahan;Puskesmas Pakis;Keracunan, cedera dan beberapa penyebab yang dari luar;64
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Sawahan;Puskesmas Pakis;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;841
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit Infeksi dan parasit;270
Surabaya Utara;Semampir;Puskesmas Pegirian;Neoplasma;18
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Utara;Semampir;Puskesmas Pegirian;Endokrin, nutrisi dan gangguan metabolik;121
Surabaya Utara;Semampir;Puskesmas Pegirian;Gangguan jiwa dan perilaku;17
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit yang mengenai sistem syaraf;48
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit mata dan adnexa;87
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit telinga dan mastoid;75
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit pada sistem sirkulasi;124
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit pada sistem pernafasan;716
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit pada sistem pencernaan;418
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit pada kulit dan jaringan subcutaneous;201
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit pada sistem musculoskletal;192
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyakit pada sistem saluran kemih dan genital;17
Surabaya Utara;Semampir;Puskesmas Pegirian;Kehamilan dan kelahiran;15
Surabaya Utara;Semampir;Puskesmas Pegirian;Keadaan yang berasal dari periode perinatal;2
Surabaya Utara;Semampir;Puskesmas Pegirian;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Utara;Semampir;Puskesmas Pegirian;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;69
Surabaya Utara;Semampir;Puskesmas Pegirian;Keracunan, cedera dan beberapa penyebab yang dari luar;76
Surabaya Utara;Semampir;Puskesmas Pegirian;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Semampir;Puskesmas Pegirian;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;371
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit Infeksi dan parasit;180
Surabaya Pusat;Genteng;Puskesmas Peneleh;Neoplasma;17
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Pusat;Genteng;Puskesmas Peneleh;Endokrin, nutrisi dan gangguan metabolik;58
Surabaya Pusat;Genteng;Puskesmas Peneleh;Gangguan jiwa dan perilaku;6
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit yang mengenai sistem syaraf;19
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit mata dan adnexa;87
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit telinga dan mastoid;38
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit pada sistem sirkulasi;78
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit pada sistem pernafasan;605
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit pada sistem pencernaan;419
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit pada kulit dan jaringan subcutaneous;213
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit pada sistem musculoskletal;249
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyakit pada sistem saluran kemih dan genital;43
Surabaya Pusat;Genteng;Puskesmas Peneleh;Kehamilan dan kelahiran;6
Surabaya Pusat;Genteng;Puskesmas Peneleh;Keadaan yang berasal dari periode perinatal;1
Surabaya Pusat;Genteng;Puskesmas Peneleh;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Pusat;Genteng;Puskesmas Peneleh;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;150
Surabaya Pusat;Genteng;Puskesmas Peneleh;Keracunan, cedera dan beberapa penyebab yang dari luar;57
Surabaya Pusat;Genteng;Puskesmas Peneleh;Penyebab morbiditas dan kematian eksternal;1
Surabaya Pusat;Genteng;Puskesmas Peneleh;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;179
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit Infeksi dan parasit;211
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Neoplasma;29
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Endokrin, nutrisi dan gangguan metabolik;92
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Gangguan jiwa dan perilaku;15
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit yang mengenai sistem syaraf;27
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit mata dan adnexa;191
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit telinga dan mastoid;38
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit pada sistem sirkulasi;146
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit pada sistem pernafasan;667
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit pada sistem pencernaan;554
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit pada kulit dan jaringan subcutaneous;209
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit pada sistem musculoskletal;344
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyakit pada sistem saluran kemih dan genital;49
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Kehamilan dan kelahiran;12
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Keadaan yang berasal dari periode perinatal;2
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;50
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Keracunan, cedera dan beberapa penyebab yang dari luar;28
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;700
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit Infeksi dan parasit;217
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Neoplasma;30
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Endokrin, nutrisi dan gangguan metabolik;158
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Gangguan jiwa dan perilaku;49
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit yang mengenai sistem syaraf;30
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit mata dan adnexa;46
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit telinga dan mastoid;141
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit pada sistem sirkulasi;221
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit pada sistem pernafasan;662
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit pada sistem pencernaan;661
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit pada kulit dan jaringan subcutaneous;252
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit pada sistem musculoskletal;517
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyakit pada sistem saluran kemih dan genital;117
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Kehamilan dan kelahiran;14
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Keadaan yang berasal dari periode perinatal;10
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;248
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Keracunan, cedera dan beberapa penyebab yang dari luar;132
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Penyebab morbiditas dan kematian eksternal;5
Surabaya Timur;Gubeng;Puskesmas Pucangsewu;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;597
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit Infeksi dan parasit;108
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Neoplasma;11
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Endokrin, nutrisi dan gangguan metabolik;79
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Gangguan jiwa dan perilaku;10
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit yang mengenai sistem syaraf;12
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit mata dan adnexa;51
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit telinga dan mastoid;15
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit pada sistem sirkulasi;84
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit pada sistem pernafasan;201
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit pada sistem pencernaan;373
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit pada kulit dan jaringan subcutaneous;81
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit pada sistem musculoskletal;138
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyakit pada sistem saluran kemih dan genital;31
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Kehamilan dan kelahiran;9
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Keadaan yang berasal dari periode perinatal;2
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;47
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Keracunan, cedera dan beberapa penyebab yang dari luar;25
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;195
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit Infeksi dan parasit;127
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Neoplasma;12
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Endokrin, nutrisi dan gangguan metabolik;49
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Gangguan jiwa dan perilaku;6
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit yang mengenai sistem syaraf;12
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit mata dan adnexa;33
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit telinga dan mastoid;27
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit pada sistem sirkulasi;69
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit pada sistem pernafasan;337
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit pada sistem pencernaan;451
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit pada kulit dan jaringan subcutaneous;101
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit pada sistem musculoskletal;168
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyakit pada sistem saluran kemih dan genital;27
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Kehamilan dan kelahiran;12
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Keadaan yang berasal dari periode perinatal;1
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;160
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Keracunan, cedera dan beberapa penyebab yang dari luar;34
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Penyebab morbiditas dan kematian eksternal;0
Surabaya Timur;Tambaksari;Puskesmas Rangkah;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;215
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit Infeksi dan parasit;112
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Neoplasma;3
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Endokrin, nutrisi dan gangguan metabolik;51
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Gangguan jiwa dan perilaku;3
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit yang mengenai sistem syaraf;4
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit mata dan adnexa;58
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit telinga dan mastoid;24
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit pada sistem sirkulasi;50
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit pada sistem pernafasan;370
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit pada sistem pencernaan;403
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit pada kulit dan jaringan subcutaneous;124
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit pada sistem musculoskletal;113
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyakit pada sistem saluran kemih dan genital;23
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Kehamilan dan kelahiran;5
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Keadaan yang berasal dari periode perinatal;0
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;44
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Keracunan, cedera dan beberapa penyebab yang dari luar;14
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Semampir;Puskesmas Sawah Pulo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;308
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit Infeksi dan parasit;151
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Neoplasma;14
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Endokrin, nutrisi dan gangguan metabolik;100
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Gangguan jiwa dan perilaku;14
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit yang mengenai sistem syaraf;25
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit mata dan adnexa;116
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit telinga dan mastoid;27
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit pada sistem sirkulasi;95
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit pada sistem pernafasan;510
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit pada sistem pencernaan;508
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit pada kulit dan jaringan subcutaneous;132
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit pada sistem musculoskletal;158
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyakit pada sistem saluran kemih dan genital;37
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Kehamilan dan kelahiran;11
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;247
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Keracunan, cedera dan beberapa penyebab yang dari luar;37
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Sawahan;Puskesmas Sawahan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;664
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit Infeksi dan parasit;249
Surabaya Barat;Benowo;Puskesmas Sememi;Neoplasma;45
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;11
Surabaya Barat;Benowo;Puskesmas Sememi;Endokrin, nutrisi dan gangguan metabolik;173
Surabaya Barat;Benowo;Puskesmas Sememi;Gangguan jiwa dan perilaku;19
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit yang mengenai sistem syaraf;73
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit mata dan adnexa;63
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit telinga dan mastoid;140
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit pada sistem sirkulasi;143
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit pada sistem pernafasan;554
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit pada sistem pencernaan;843
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit pada kulit dan jaringan subcutaneous;222
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit pada sistem musculoskletal;265
Surabaya Barat;Benowo;Puskesmas Sememi;Penyakit pada sistem saluran kemih dan genital;141
Surabaya Barat;Benowo;Puskesmas Sememi;Kehamilan dan kelahiran;43
Surabaya Barat;Benowo;Puskesmas Sememi;Keadaan yang berasal dari periode perinatal;5
Surabaya Barat;Benowo;Puskesmas Sememi;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Barat;Benowo;Puskesmas Sememi;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;302
Surabaya Barat;Benowo;Puskesmas Sememi;Keracunan, cedera dan beberapa penyebab yang dari luar;89
Surabaya Barat;Benowo;Puskesmas Sememi;Penyebab morbiditas dan kematian eksternal;9
Surabaya Barat;Benowo;Puskesmas Sememi;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;2.256
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit Infeksi dan parasit;203
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Neoplasma;19
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Endokrin, nutrisi dan gangguan metabolik;161
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Gangguan jiwa dan perilaku;5
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit yang mengenai sistem syaraf;29
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit mata dan adnexa;87
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit telinga dan mastoid;74
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit pada sistem sirkulasi;71
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit pada sistem pernafasan;466
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit pada sistem pencernaan;515
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit pada kulit dan jaringan subcutaneous;170
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit pada sistem musculoskletal;212
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyakit pada sistem saluran kemih dan genital;49
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Kehamilan dan kelahiran;8
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Keadaan yang berasal dari periode perinatal;4
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;150
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Keracunan, cedera dan beberapa penyebab yang dari luar;51
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;136
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit Infeksi dan parasit;139
Surabaya Utara;Semampir;Puskesmas Sidotopo;Neoplasma;19
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;26
Surabaya Utara;Semampir;Puskesmas Sidotopo;Endokrin, nutrisi dan gangguan metabolik;62
Surabaya Utara;Semampir;Puskesmas Sidotopo;Gangguan jiwa dan perilaku;14
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit yang mengenai sistem syaraf;23
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit mata dan adnexa;68
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit telinga dan mastoid;36
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit pada sistem sirkulasi;69
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit pada sistem pernafasan;358
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit pada sistem pencernaan;421
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit pada kulit dan jaringan subcutaneous;149
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit pada sistem musculoskletal;170
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyakit pada sistem saluran kemih dan genital;33
Surabaya Utara;Semampir;Puskesmas Sidotopo;Kehamilan dan kelahiran;25
Surabaya Utara;Semampir;Puskesmas Sidotopo;Keadaan yang berasal dari periode perinatal;4
Surabaya Utara;Semampir;Puskesmas Sidotopo;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Utara;Semampir;Puskesmas Sidotopo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;123
Surabaya Utara;Semampir;Puskesmas Sidotopo;Keracunan, cedera dan beberapa penyebab yang dari luar;35
Surabaya Utara;Semampir;Puskesmas Sidotopo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Semampir;Puskesmas Sidotopo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;333
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit Infeksi dan parasit;244
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Neoplasma;17
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Endokrin, nutrisi dan gangguan metabolik;76
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Gangguan jiwa dan perilaku;9
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit yang mengenai sistem syaraf;18
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit mata dan adnexa;83
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit telinga dan mastoid;47
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit pada sistem sirkulasi;54
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit pada sistem pernafasan;321
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit pada sistem pencernaan;613
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit pada kulit dan jaringan subcutaneous;101
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit pada sistem musculoskletal;185
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyakit pada sistem saluran kemih dan genital;54
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Kehamilan dan kelahiran;70
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Keadaan yang berasal dari periode perinatal;13
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;138
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Keracunan, cedera dan beberapa penyebab yang dari luar;63
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Penyebab morbiditas dan kematian eksternal;2
